Adaptability,Affection Level,Vocalization,Size,Child Friendly,Lifespan,Stranger Friendly,Dog Friendly,Max Pounds,Social Needs,Name,Energy Level,Health Issues,Hypoallergenic,Intelligence,Kitten Price,Grooming,Lap Cat,Shedding
5 stars,5 stars,1 stars,,4 stars,12-15 years,2 stars,3 stars,14,4 stars,Exotic Shorthair,3 stars,4 stars,No,3 stars,Average $500 - $700 USD,3 stars,Yes,4 stars
5 stars,5 stars,1 stars, to ,4 stars,15-17 years,3 stars,5 stars,15,4 stars,American Shorthair,3 stars,1 stars,No,3 stars,Average $600 - $800 USD,3 stars,Yes,5 stars
5 stars,5 stars,1 stars,,4 stars,12-15 years,5 stars,5 stars,18,3 stars,Maine Coon,3 stars,3 stars,No,5 stars,Average $300 - $500 USD,3 stars,Yes,4 stars
5 stars,4 stars,1 stars,,4 stars,12-17 years,2 stars,5 stars,20,3 stars,British Shorthair,2 stars,2 stars,No,3 stars,Average $800 - $1200 USD,2 stars,Yes,1 stars
5 stars,5 stars,5 stars,,4 stars,12-14 years,5 stars,5 stars,12,5 stars,Sphynx,3 stars,1 stars,Yes,5 stars,Average $800 - $1000 USD,1 stars,Yes,1 stars
5 stars,5 stars,1 stars, to ,2 stars,14-15 years,2 stars,1 stars,14,4 stars,Persian,1 stars,4 stars,No,3 stars,Average $500 - $700 USD,5 stars,Yes,5 stars
5 stars,5 stars,1 stars,,4 stars,14-15 years,4 stars,4 stars,10,5 stars,Abyssinian,5 stars,4 stars,No,5 stars,Average $500 - $700 USD,1 stars,Yes,1 stars
5 stars,5 stars,5 stars,,4 stars,12-15 years,5 stars,5 stars,15,5 stars,Siamese,5 stars,1 stars,No,5 stars,Average $400 - $600 USD,3 stars,Yes,3 stars
5 stars,5 stars,1 stars,,4 stars,11-14 years,3 stars,5 stars,9,5 stars,Cornish Rex,5 stars,1 stars,Yes,5 stars,Average $700 - $800 USD,1 stars,Yes,1 stars
5 stars,5 stars,5 stars,,4 stars,14-16 years,5 stars,5 stars,12,5 stars,Tonkinese,5 stars,3 stars,No,5 stars,Average $500 - $700 USD,3 stars,Yes,5 stars
5 stars,5 stars,5 stars,,4 stars,15-16 years,5 stars,5 stars,12,5 stars,Burmese,4 stars,3 stars,No,5 stars,Average $500 - $600 USD,1 stars,Yes,1 stars
5 stars,5 stars,1 stars,,4 stars,12-16 years,3 stars,5 stars,16,5 stars,Norwegian Forest Cat,3 stars,3 stars,No,4 stars,Average $600 - $800 USD,3 stars,No,3 stars
5 stars,5 stars,1 stars,,4 stars,10-15 years,5 stars,5 stars,10,5 stars,Devon Rex,5 stars,3 stars,No,5 stars,Average $400 - $500 USD,3 stars,Yes,1 stars
3 stars,3 stars,1 stars,,3 stars,10-16 years,3 stars,3 stars,11,3 stars,Russian Blue,3 stars,1 stars,No,3 stars,Average $400 - $600 USD,3 stars,Yes,3 stars
5 stars,5 stars,3 stars, to ,4 stars,12-14 years,5 stars,5 stars,15,5 stars,Ocicat,5 stars,3 stars,No,5 stars,Average $400 - $600 USD,1 stars,No,5 stars
5 stars,5 stars,5 stars,,4 stars,10-15 years,5 stars,5 stars,10,5 stars,Balinese,5 stars,3 stars,Yes,5 stars,Average $500 - $600 USD,3 stars,No,3 stars
5 stars,5 stars,3 stars, to ,4 stars,12-14 years,3 stars,5 stars,13,5 stars,Manx,5 stars,1 stars,No,5 stars,Average $200 - $400 USD,3 stars,Yes,3 stars
5 stars,5 stars,5 stars,,4 stars,12-16 years,4 stars,5 stars,11,4 stars,Bombay,3 stars,1 stars,No,5 stars,Average $400 - $600 USD,1 stars,Yes,1 stars
5 stars,5 stars,1 stars,,4 stars,10-15 years,3 stars,5 stars,10,5 stars,Havana Brown,3 stars,1 stars,No,5 stars,Average $300 - $500 USD,1 stars,Yes,3 stars
5 stars,5 stars,5 stars,,4 stars,14-16 years,5 stars,5 stars,10,5 stars,Japanese Bobtail,5 stars,1 stars,No,5 stars,Average $400 - $600 USD,3 stars,Yes,3 stars
5 stars,5 stars,5 stars, to ,4 stars,12-17 years,4 stars,5 stars,20,4 stars,Turkish Van,5 stars,1 stars,No,5 stars,Average $200 - $300 USD,2 stars,No,3 stars
5 stars,5 stars,3 stars, to ,4 stars,8-14 years,3 stars,5 stars,13,5 stars,Cymric,5 stars,2 stars,Yes,5 stars,Average $200 - $400 USD,3 stars,Yes,5 stars
5 stars,5 stars,5 stars,,4 stars,14-19 years,4 stars,5 stars,12,4 stars,Snowshoe,4 stars,1 stars,No,5 stars,Average $300 - $400 USD,3 stars,Yes,3 stars
5 stars,5 stars,1 stars, to ,4 stars,12-16 years,3 stars,5 stars,18,5 stars,Bengal,5 stars,3 stars,No,5 stars,Average $800 - $1200 USD,1 stars,No,3 stars
